tax_bracket,income_range,min_rate,max_rate,deduction_limit
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
3,30001-70000,0.1,0.15,5000
4,70001-150000,0.15,0.2,10000
5,150001+,0.2,0.25,20000
1,0-10000,0.01,0.05,1000
2,10001-30000,0.05,0.1,2000
